what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739388074
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1621739390432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739390434
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1621739390450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739391906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739395380
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1621739395405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739403002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739407886
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1621739408307
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1621739412109
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1621739412442
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1621739418741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739433467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739473322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739477417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739525854
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1621739526757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739530182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739533383
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1621739533733
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1621739537524
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1621739537877
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1621739543930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739647880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739655012
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1621739655029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739659698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739660614
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1621739660833
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1621739661077
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1621739661636
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1621739661636
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1621739661652
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1621739662625
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1621739662645
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1621739662645
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1621739662645
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1621739662645
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1621739662645
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1621739662661
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1621739662661
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1621739662661
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1621739662683
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1621739662692
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1621739662692
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1621739662714
